"","dataset","batch","organism","cultivar","gm","zadok_scale","intermediate_age","high_level_age","low_level_tissue","intermediate_tissue","high_level_tissue","treatment","library"
"ERR1457216","developmental_stages",46,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lemma","bract_like_leaflet","inflorescence","control","paired"
"ERR1457217","developmental_stages",46,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lemma","bract_like_leaflet","inflorescence","control","paired"
"ERR1457218","developmental_stages",47,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lodicule","lodicule","inflorescence","control","paired"
"ERR1457219","developmental_stages",47,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lodicule","lodicule","inflorescence","control","paired"
"ERR1457220","developmental_stages",47,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lodicule","lodicule","inflorescence","control","paired"
"ERR1457221","developmental_stages",48,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","palea","bract_like_leaflet","inflorescence","control","paired"
"ERR1457222","developmental_stages",48,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","palea","bract_like_leaflet","inflorescence","control","paired"
"ERR1457223","developmental_stages",48,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","palea","bract_like_leaflet","inflorescence","control","paired"
"ERR1457224","developmental_stages",49,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","epidermis","shoot_mix","shoot","control","paired"
"ERR1457225","developmental_stages",49,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","epidermis","shoot_mix","shoot","control","paired"
"ERR1457226","developmental_stages",49,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","epidermis","shoot_mix","shoot","control","paired"
"ERR1457227","developmental_stages",50,"Hordeum vulgare","Morex","wt",66,"Anthesis","Reproductive","rachis","rachis","inflorescence","control","paired"
"ERR1457228","developmental_stages",50,"Hordeum vulgare","Morex","wt",66,"Anthesis","Reproductive","rachis","rachis","inflorescence","control","paired"
"ERR1457229","developmental_stages",50,"Hordeum vulgare","Morex","wt",66,"Anthesis","Reproductive","rachis","rachis","inflorescence","control","paired"
"ERR1457230","developmental_stages",51,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"ERR1457231","developmental_stages",51,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"ERR1457232","developmental_stages",51,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","root","root_mix","root","control","paired"
"ERR1457233","developmental_stages",52,"Hordeum vulgare","Morex","wt",91,"Senescence","Senescence","senescence_leaf","leaf_senescence","shoot","control","paired"
"ERR1457234","developmental_stages",52,"Hordeum vulgare","Morex","wt",91,"Senescence","Senescence","senescence_leaf","leaf_senescence","shoot","control","paired"
"ERR1457235","developmental_stages",52,"Hordeum vulgare","Morex","wt",91,"Senescence","Senescence","senescence_leaf","leaf_senescence","shoot","control","paired"
"ERR1457239","developmental_stages",54,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lemma","bract_like_leaflet","inflorescence","control","paired"
"ERR1457240","developmental_stages",54,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lemma","bract_like_leaflet","inflorescence","control","paired"
"ERR1457241","developmental_stages",54,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lemma","bract_like_leaflet","inflorescence","control","paired"
"ERR1457242","developmental_stages",55,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lodicule","lodicule","inflorescence","control","paired"
"ERR1457243","developmental_stages",55,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lodicule","lodicule","inflorescence","control","paired"
"ERR1457244","developmental_stages",55,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","lodicule","lodicule","inflorescence","control","paired"
"ERR1457245","developmental_stages",56,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","palea","bract_like_leaflet","inflorescence","control","paired"
"ERR1457246","developmental_stages",56,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","palea","bract_like_leaflet","inflorescence","control","paired"
"ERR1457247","developmental_stages",56,"Hordeum vulgare","Morex","wt",69,"Anthesis","Reproductive","palea","bract_like_leaflet","inflorescence","control","paired"
"ERR1457248","developmental_stages",57,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","epidermis","shoot_mix","shoot","control","paired"
"ERR1457249","developmental_stages",57,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","epidermis","shoot_mix","shoot","control","paired"
"ERR1457250","developmental_stages",57,"Hordeum vulgare","Morex","wt",13,"Leaf_development","Vegetative","epidermis","shoot_mix","shoot","control","paired"
"ERR1457251","developmental_stages",58,"Hordeum vulgare","Morex","wt",65,"Anthesis","Reproductive","rachis","rachis","inflorescence","control","paired"
"ERR1457252","developmental_stages",58,"Hordeum vulgare","Morex","wt",65,"Anthesis","Reproductive","rachis","rachis","inflorescence","control","paired"
"ERR1457253","developmental_stages",58,"Hordeum vulgare","Morex","wt",65,"Anthesis","Reproductive","rachis","rachis","inflorescence","control","paired"
"ERR1457254","developmental_stages",59,"Hordeum vulgare","Morex","wt",50,"Heading","Reproductive","root","root_mix","root","control","paired"
"ERR1457255","developmental_stages",59,"Hordeum vulgare","Morex","wt",50,"Heading","Reproductive","root","root_mix","root","control","paired"
"ERR1457256","developmental_stages",59,"Hordeum vulgare","Morex","wt",50,"Heading","Reproductive","root","root_mix","root","control","paired"
"ERR1457257","developmental_stages",60,"Hordeum vulgare","Morex","wt",91,"Senescence","Senescence","senescence_leaf","leaf_senescence","shoot","control","paired"
"ERR1457258","developmental_stages",60,"Hordeum vulgare","Morex","wt",91,"Senescence","Senescence","senescence_leaf","leaf_senescence","shoot","control","paired"
"ERR1457259","developmental_stages",60,"Hordeum vulgare","Morex","wt",91,"Senescence","Senescence","senescence_leaf","leaf_senescence","shoot","control","paired"
"ERR2026421"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026422"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026423"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
"ERR2026424"," rowtype_mutant",61,"Hordeum vulgare","Bowman","wt",30,"Tillering","Vegetative","spike","flower_mix","inflorescence","control","paired"
